score_num,movie_name,score,ranking
大卫·戈尔的一生,104620,225,8.7
血钻,123007,226,8.5
爱在午夜降临前,123007,227,8.8
曾经,123007,228,8.3
国王的演讲,123007,229,8.3
麦兜故事,123007,230,8.5
枪火,123007,231,8.6
暖暖内含光,123007,232,8.4
疯狂的石头,123007,233,8.2
遗愿清单,123007,234,8.5
蝴蝶,123007,235,8.6
千钧一发,123007,236,8.7
巴黎淘气帮,123007,237,8.6
荒岛余生,123007,238,8.4
与狼共舞,123007,239,8.9
房间,123007,240,8.8
偷拐抢骗,123007,241,8.5
月球,123007,242,8.5
头脑特工队,123007,243,8.7
我爱你,123007,244,9.0
夜访吸血鬼,123007,245,8.3
寿司之神,123007,246,8.8
彗星来的那一夜,123007,247,8.4
廊桥遗梦,123007,248,8.6
爱在暹罗,123007,249,8.3
中央车站,123007,250,8.7
