comment_content,comment_rate,comment_time,comment_vote,comment_author
近年来剧场版中，最像推理的一次，虽然超人小学生和动作戏依旧。这集的cp，我站服部平次&江户川柯南。,allstar30 rating,2017-09-01 12:29:35,23,kakakarl
比上一部稍稍强那么一点，推理不够爱情来凑，动作戏依旧各种逆天。每看一部柯南剧场版都感慨一次这个系列已经往美国队长的路上远走越远了，你有盾我有球，切开瀑布不用愁。不过歌牌这个点蛮好的，以及你哀戏份少到连一句话都不让说完。,allstar30 rating,2017-08-31 20:19:35,11,痞影人科莱昂
恋爱线大好（本来就不是来看推理的…,allstar40 rating,2017-04-15 19:51:40,43,JUMP!
又是杀错人系列，平和大法好啊，新兰永恒哇,allstar50 rating,2017-08-31 15:56:09,8,西瓜子与冬瓜糖
案情逻辑没听的太懂，反正柯南去的地方该死的人你拦不住，但如果我碰到这种高质量的约定，马上拉去民政局办证，不废话不套路！！,allstar30 rating,2017-09-01 09:21:47,8,潇雨
用平兼盛来描绘平次和和叶的这个点子，实在是戳到我的心窝窝里去了,allstar50 rating,2017-05-09 06:08:32,18,喝醉了他的梦
初秋。京都的红叶真是让人向往。M21终于扳回一城，剧情经得起推敲，重推理才是悬疑侦探片的核心。和叶是得到了未来婆婆的检阅，平次男友力max，不抓紧我，我会杀了你！文化差异，搞不明白歌牌。p.s.片尾依旧仓木麻衣，可惜这集木有基德客串，哀酱也是打酱油的。最后想说航拍京都的实景真好看,allstar40 rating,2017-09-01 12:57:00,3,kiki204629
第一次看柯南差点睡着。。文艺爱情果然不是我的菜2333 花牌的趣味也完全不理解在哪。。所以有我大爱的京都和平次也没法再多打一颗星了。。期待明年的安室！www,allstar30 rating,2017-04-16 21:55:35,19,かめ❤ちょう
一星送给片尾，拍的唯美。关西腔简直听疯了……这么多年了，工藤小兰、服部何叶爱的还是那么青涩含蓄，而我们却在不知不觉中消逝了青春。,allstar40 rating,2017-09-03 16:32:01,3,捕梦
和叶和平次的青梅竹马感情线已经拖沓得够呛，这回又强行加入平次未婚妻红叶，硬砌修罗场，很无耻有没有；追番数十载，套路永不变；越来越怀念以前的细心营造悬疑度的柯南剧场版，而不是如今走马灯过场，令人审美疲劳的无聊凶杀案；看了这么多年，出场越来越少的人物真的越来越得我心，表白灰原。,allstar20 rating,2017-09-02 15:43:22,2,奔兔吉尔
今年还挺好看的！和叶超级可爱，恋爱中的少女！剧情是近年来最丰满的一作，重点放在了戏剧性而不是推理上(但不是没有推理)，所以很容易猜凶手。依旧动作大片，然后动作场面已经看不懂了，反正就是柯南超厉害在天线锅里转圈圈(什么鬼)之类的…京都话真嗲啊…但宫川大辅声音太出戏了差评。,allstar40 rating,2017-04-15 21:07:34,17,Ｓ．
剧情虽然简单，但是两位主演又贱又逗逼，这年头已经不兴男欢女爱了，哥哥你坐船头弟弟在岸上走。（电影里那辆掉到运河里的车，是拍摄意外真的掉进去了，后来还找保险公司和剧组给车主赔了钱233333…,allstar40 rating,2017-08-18 05:20:46,258,李阿斗
本片已确认于9月22日登陆中国院线，在原片长的基础上，仅删减100分钟，并要求12岁以下的观众在家长陪同下观看。,allstar30 rating,2017-08-29 13:12:53,312,康报虹
被局长和他老婆的R级爱情感动到无法自拔——oh my cockroach (with Spanish accent,allstar40 rating,2017-08-21 20:41:18,148,艺仔没公德
哈哈哈是谁说的哥哥你坐船头我在岸上走哈哈哈！这波必须服！,allstar30 rating,2017-08-21 00:11:19,117,Daisy cat
艹！好鬼浪漫！！！没有人能杀死丧基达利！黑塞有情有义有嘻哈！小贱贱表示：局长令我成长，并懂得爱的真谛【并没有,allstar40 rating,2017-08-20 13:36:13,64,飞鸟凉
这部片子好玩的地方就在于，你完全可以猜到故事即将发生的剧情走向，但你依然会兴致盎然的看完整部电影，于是原本俗套的故事在瑞恩·雷诺兹和塞缪尔·杰克逊的演绎下以枪战+嘴炮的形式呈现也变得十分十分有趣，当然两条爱情故事的穿插也融合的恰到好处。但加里·奥德曼无疑是十分鸡肋的一个角色。,allstar30 rating,2017-08-30 15:59:31,59,方枪枪
Ryan Reynold演龟毛丧逼比演死侍好笑！不过总感觉抢了Paul Rudd饭碗,allstar40 rating,2017-08-21 22:40:37,60,王大根
能够把老套的黑白双雄加保镖杀手故事拍摄的如此无脑爆笑又浪漫鸡汤，再配上80年代的老情歌，导演和编剧成功的让欢乐严重的掩盖了暴力和血腥。尽管有不少动作片的常规硬伤，依然强烈推荐。,allstar40 rating,2017-08-27 19:13:19,64,Carf
乐到肚子疼。前排黑人大哥大姐的魔性笑声与杰克逊的交相辉映，为本片添色不少,allstar40 rating,2017-08-19 01:36:49,46,非正常儿童
两星半。加里·奥德曼竟然接了个这么鸡肋的反派角色。,allstar20 rating,2017-08-27 23:20:38,9,痞影人科莱昂
贱到家了，阿姆斯特丹城市疯狂漫游。貌似保镖枪战动作飞车，实际上是老黑哥哥教小白弟弟如何泡妞御妹致胜。以及，白俄罗斯啊，都被黑俄罗斯了。,allstar30 rating,2017-08-27 00:46:20,25,木卫二
三星半motherfucker,allstar30 rating,2017-08-31 00:30:00,24,面条面包面饼
太基(。-＿-。)而且这帮杀手跟John Wick比起来真是太没职业道德了!!! o(*≧▽≦)ツ ~ ~~233333,allstar40 rating,2017-08-18 21:40:51,31,彼岸盆花
娱乐性极强的电影：精致欧洲 霸气武装 给力枪战动作 经典动作片的优秀元素全都继承了过来 配合上不断的笑料和超级英雄式的非人类光环 好不热闹 还很浪漫。 Ryan Reynolds各种帅 河边摩托戏全程替身戴头盔不露脸都被电影自己吐槽了：没见过头盔戴的这么紧的，解都解不开。,allstar40 rating,2017-08-28 08:12:29,22,ZMike
